fecha,rendimiento_acumulado,rentabilidad step,comision,rentabilidad_1,rentabilidad_2,rentabilidad_3,rentabilidad_4,porcentaje_1,porcentaje_2,porcentaje_3,porcentaje_4,precios_1,precios_2,precios_3
20220103,211.68981306500672,0.9993515,5.675852298736573e-07,1.0,0.9942558,0.99476624,0.99870306,0.5,0.0,0.0,0.5,9.507472,26.977684,3.1700974
20220104,211.55220942367342,0.9993508,8.110702037811279e-07,1.0,0.9932593,0.9982462,0.9987015,0.5,0.0,0.0,0.5,9.443385,26.93037,3.165981
20220105,213.20241867050882,1.0078013,8.121132850646973e-07,1.0,0.9936986,0.9933239,1.0156026,0.5,0.0,0.0,0.5,9.383879,26.750582,3.2153785
20220106,213.29589335879587,1.0004481,9.676069021224976e-06,1.0,1.0004879,0.9784224,1.0008962,0.5,0.0,0.0,0.5,9.388457,26.173368,3.2182603
20220109,213.0291540812441,1.0,0.001250559836626053,1.0,0.9935547,1.000723,1.0294193,1.0,0.0,0.0,0.0,9.327946,26.192293,3.3129392
20220110,213.0291540812441,1.0,0.0,1.0,1.000499,1.009393,0.9898111,1.0,0.0,0.0,0.0,9.332601,26.438318,3.279184
20220111,213.0291540812441,1.0,0.0,1.0,0.9965088,0.99821043,0.99824244,1.0,0.0,0.0,0.0,9.300018,26.391005,3.2734208
20220112,213.0291540812441,1.0,0.0,1.0,1.0020019,0.99964154,1.0105635,1.0,0.0,0.0,0.0,9.318636,26.381544,3.3079996
20220113,213.0291540812441,1.0,0.0,1.0,0.9922079,0.99605453,1.0034844,1.0,0.0,0.0,0.0,9.246024,26.277456,3.319526
20220116,213.0291540812441,1.0,0.0,1.0,1.0113773,1.0050414,0.9933035,1.0,0.0,0.0,0.0,9.351219,26.409931,3.2972968
20220117,213.0291540812441,1.0,0.0,1.0,0.99113995,0.9978502,1.0149814,1.0,0.0,0.0,0.0,9.268367,26.353155,3.3466947
20220118,213.0291540812441,1.0,0.0,1.0,1.0040177,1.0265708,0.99077487,1.0,0.0,0.0,0.0,9.305604,27.053381,3.315821
20220119,213.0291540812441,1.0,0.0,1.0,1.022409,0.99685216,0.9963997,1.0,0.0,0.0,0.0,9.514133,26.968222,3.303883
20220120,213.0291540812441,1.0,0.0,1.0,0.9926613,0.9859649,0.9976327,1.0,0.0,0.0,0.0,9.444312,26.58972,3.2960618
20220123,213.0291540812441,1.0,0.0,1.0,0.98275024,0.96619207,1.0046209,1.0,0.0,0.0,0.0,9.2814,25.690777,3.3112926
20220124,213.0291540812441,1.0,0.0,1.0,0.99398184,1.0077349,1.018026,1.0,0.0,0.0,0.0,9.225543,25.889492,3.370982
20220125,213.0291540812441,1.0,0.0,1.0,1.0090816,1.0073099,1.000122,1.0,0.0,0.0,0.0,9.309326,26.078741,3.3713932
20220126,213.0291540812441,1.0,0.0,1.0,1.0195001,0.9916545,1.0126984,1.0,0.0,0.0,0.0,9.490859,25.861101,3.4142044
20220127,213.0291540812441,1.0,0.0,1.0,0.99264354,0.9890232,1.0038582,1.0,0.0,0.0,0.0,9.42104,25.577229,3.4273772
20220130,213.0291540812441,1.0,0.0,1.0,1.0039525,0.9892711,0.9917127,1.0,0.0,0.0,0.0,9.458277,25.302813,3.3989735
20220131,213.0291540812441,1.0,0.0,1.0,1.0049212,1.0108453,0.9926124,1.0,0.0,0.0,0.0,9.504823,25.577229,3.3738632
20220201,213.0291540812441,1.0,0.0,1.0,0.9936337,0.9770624,1.0104928,1.0,0.0,0.0,0.0,9.444312,24.99055,3.4092643
20220202,213.0291540812441,1.0,0.0,1.0,0.97604734,0.97766,1.0117122,1.0,0.0,0.0,0.0,9.218096,24.43226,3.4491942
20220203,213.0291540812441,1.0,0.0,1.0,0.9796001,0.9697909,0.9939135,1.0,0.0,0.0,0.0,9.030047,23.694183,3.4282005
20220206,213.0291540812441,1.0,0.0,1.0,0.97917527,0.9904153,1.0067242,1.0,0.0,0.0,0.0,8.841999,23.467081,3.4512527
20220207,213.0291540812441,1.0,0.0,1.0,0.9890503,1.0278226,1.0252862,1.0,0.0,0.0,0.0,8.745182,24.119997,3.5385218
20220208,213.0291540812441,1.0,0.0,1.0,1.017458,1.0176541,1.0126804,1.0,0.0,0.0,0.0,8.897855,24.545813,3.5833917
20220209,213.0291540812441,1.0,0.0,1.0,0.99937224,1.0111796,1.0104537,1.0,0.0,0.0,0.0,8.892269,24.820223,3.6208515
20220210,213.0291540812441,1.0,0.0,1.0,0.98869365,0.9817005,1.004775,1.0,0.0,0.0,0.0,8.79173,24.366024,3.6381412
20220213,213.0291540812441,1.0,0.0,1.0,0.9682336,0.9836893,0.99094814,1.0,0.0,0.0,0.0,8.512448,23.968597,3.605209
20220214,213.0291540812441,1.0,0.0,1.0,1.0282154,0.99486774,1.0077643,1.0,0.0,0.0,0.0,8.75263,23.845585,3.6332014
